annotation_id,image_or_view_path,scene_id,room_type,subject_class,predicate,object_class,subject_index,object_index,subject_center_xyz,object_center_xyz,dx_subject_minus_object,dy_subject_minus_object,dz_subject_minus_object,distance_xz,coord_rule_label,repair_relation_exact_present,baseline_relation_exact_present,pair_alignment_status,human_label,missing_object,visibility_quality,annotator_id,notes,source_text,coord_rule,layout_variant,relation_id,source_json,raw_predicate,baseline_satisfied,repair_satisfied,label_a,label_d,final_label,final_label_source,adjudicator_id,adjudication_notes,final_vs_coord
EG02-BED-0011,images/EG02-BED-0011.jpg,b2e0b670-b308-4817-b3b6-2a8b7312c18f_SecondBedroom-6261,bedroom,double_bed,below,pendant_lamp,1,0,"[0.191083,0.559582,0.427758]","[0.043547,2.157245,0.288684]",0.147536,-1.597663,0.139074,0.202752,satisfied,1,1,ok,satisfied,none,good,A,,"Hang a black circular pendant lamp with a metal frame in front of a grey wardrobe with drawers. Then, set up a double bed below a pendant lamp.",left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,122:1:8-5-13,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,below,1,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
EG02-BED-0012,images/EG02-BED-0012.jpg,7b48d192-1ac0-406c-af41-800853de2d7f_Bedroom-41491,bedroom,ceiling_lamp,close to,chair,3,2,"[-0.281072,2.625566,-0.016242]","[-0.789765,0.401088,-0.798929]",0.508693,2.224478,0.782687,0.933471,not_satisfied,1,0,ok,not_satisfied,none,good,A,,Put a gray dining chair closely behind a black ceiling lamp with a lid.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,88:0:3-4-4,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,close_behind,0,1,not_satisfied,not_satisfied,not_satisfied,a_d_agree,,,agree
EG02-BED-0013,images/EG02-BED-0013.jpg,885bca04-679c-4098-a2d9-27885640ad28_MasterBedroom-22581,bedroom,desk,close to,chair,3,4,"[1.18591,0.406512,-0.982424]","[1.807368,0.411782,-0.386538]",-0.621458,-0.00527,-0.595886,0.860982,not_satisfied,1,1,ok,satisfied,none,good,A,,Add a desk to the right of a green and gray single bed. Arrange a black and silver computer desk to the near left of a grey dining chair with black legs.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,99:1:7-3-4,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,close_left,1,1,satisfied,not_satisfied,satisfied,adjudicated,D,,disagree
EG02-BED-0014,images/EG02-BED-0014.jpg,dc80719c-65f0-4662-a25c-ce747612ed07_MasterBedroom-18517,bedroom,4,close to,6,,,,,,,,,not_judgable,0,0,missing_pair,not_judgable,both,good,A,,"Position a coffee table closely in front of a chair. Next, install a modern pendant lamp with a metal ball in front of a blue lounge chair with a metal frame.",missing subject/object class in repair boxes,collision_gated_floor_prior,142:0:4-9-6,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,close_front,0,0,not_judgable,not_judgable,not_judgable,a_d_agree,,,agree
EG02-BED-0015,images/EG02-BED-0015.jpg,15d07e45-2761-43ed-8dfc-f9d4ef58041d_Bedroom-68718,bedroom,wardrobe,in front of,nightstand,0,2,"[-0.336106,1.086917,1.475174]","[-1.19536,0.287505,-1.331225]",0.859253,0.799412,2.806399,2.934994,satisfied,1,1,ok,satisfied,none,good,A,,Add a black wooden wardrobe with doors and shelves in front of a black and white nightstand with a silver handle. Set up a double bed with canopy and pillows below a black pendant lamp with crystals.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,14:0:20-2-12,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,in front of,1,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
EG02-BED-0016,images/EG02-BED-0016.jpg,29f92b53-a723-41c9-992c-1d146ce542a7_Bedroom-6993,bedroom,pendant_lamp,in front of,wardrobe,1,0,"[0.035302,2.178855,0.199866]","[0.248191,1.254793,-1.336635]",-0.212888,0.924062,1.536501,1.551179,satisfied,1,1,ok,satisfied,none,good,A,,Add a black and grey double bed in front of a black wardrobe with hanging clothes. Add a black pendant lamp with a handle in front of a wardrobe.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,35:1:13-2-20,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,in front of,1,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
EG02-BED-0017,images/EG02-BED-0017.jpg,503ebcb6-9815-4412-90ea-f0bbd59ddbe9_SecondBedroom-143,bedroom,wardrobe,in front of,cabinet,2,1,"[-1.086411,1.36327,1.382432]","[-0.358977,0.313222,1.42445]",-0.727434,1.050048,-0.042018,0.728646,not_satisfied,1,1,ok,not_satisfied,none,good,A,,"Place a cabinet behind a black wardrobe with a wooden door. Then, set up a cabinet left of a cabinet.",left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,58:0:20-2-2,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,in front of,1,1,not_satisfied,satisfied,not_satisfied,adjudicated,A,,agree
EG02-BED-0018,images/EG02-BED-0018.jpg,50526848-e51d-48e0-bb9b-3c5c90d76c4d_SecondBedroom-13044,bedroom,nightstand,in front of,double_bed,5,4,"[1.153803,0.336856,1.451319]","[0.87653,0.469867,0.008895]",0.277273,-0.133011,1.442424,1.468832,satisfied,1,0,ok,satisfied,none,good,A,,"Arrange a black double bed with white sheets and pillows behind a nightstand. Next, place a black double bed with white sheets and pillows in front of a wardrobe.",left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,59:0:12-2-8,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,in front of,0,1,satisfied,not_satisfied,not_satisfied,adjudicated,A,,disagree
EG02-BED-0019,images/EG02-BED-0019.jpg,54bdf809-f190-48e7-9b25-a9986077fc0f_SecondBedroom-32238,bedroom,double_bed,in front of,nightstand,0,2,"[0.146361,1.138661,-0.113591]","[1.119475,0.273468,0.982776]",-0.973113,0.865193,-1.096367,1.465937,not_satisfied,1,1,ok,not_judgable,none,good,A,,Put a black and white nightstand with a silver handle behind a double bed.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,62:0:8-2-12,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,in front of,1,1,not_judgable,not_satisfied,satisfied,adjudicated,A,,disagree
EG02-BED-0020,images/EG02-BED-0020.jpg,b1fb2628-f260-4bee-8db1-6f4f10520a09_MasterBedroom-1096,bedroom,wardrobe,in front of,dressing_table,7,8,"[-0.291113,1.215174,1.702968]","[-1.423464,0.814152,-1.442153]",1.132351,0.401022,3.145121,3.342754,satisfied,0,0,ok,satisfied,none,good,A,,"Put a blue and white double bed with pillows below a black pendant lamp with a led light and a frame. Additionally, position a cabinet with shelves and a plant in front of a gray dressing table with a mirror and shoes.",left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,120:1:20-2-10,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,in front of,0,0,satisfied,not_satisfied,not_satisfied,adjudicated,A,,disagree
EG02-BED-0021,images/EG02-BED-0021.jpg,04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404,bedroom,double_bed,left,nightstand,6,2,"[0.341449,0.646033,0.780885]","[1.311771,0.291779,1.369957]",-0.970323,0.354254,-0.589071,1.135135,satisfied,1,1,ok,satisfied,none,good,A,,Add a double bed left of a gray nightstand with drawers. Place a gray nightstand with drawers to the right of a gray wardrobe with shelves and drawers.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,1:0:8-1-12,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,left,1,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
EG02-BED-0022,images/EG02-BED-0022.jpg,0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719,bedroom,bookshelf,left,double_bed,6,2,"[-0.820185,0.919634,1.936891]","[-0.122478,0.672671,-0.948088]",-0.697707,0.246963,2.884979,2.968147,satisfied,0,0,ok,not_satisfied,none,good,A,,"Add a grey stool with black legs behind a wooden bookshelf with shelves. Then, set up a bookshelf left of a black and white double bed.",left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,8:1:1-1-8,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,left,0,0,not_satisfied,not_satisfied,not_satisfied,a_d_agree,,,disagree
EG02-BED-0023,images/EG02-BED-0023.jpg,10a1f583-7755-4afd-98b2-3f7df16bc930_Bedroom-430,bedroom,table,left,pendant_lamp,1,2,"[1.133674,0.166517,-1.411883]","[-0.151283,2.413206,0.006341]",1.284957,-2.246688,-1.418223,1.913759,not_satisfied,1,1,ok,satisfied,none,good,A,,Add a corner side table with a round top to the left of a black and silver pendant lamp with lights.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,9:0:18-1-13,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,left,1,1,satisfied,satisfied,satisfied,a_d_agree,,,disagree
EG02-BED-0024,images/EG02-BED-0024.jpg,525c4166-1792-4f4a-a9c2-1ea260cf6e39_Bedroom-8490,bedroom,double_bed,left,pendant_lamp,2,1,"[-1.286099,0.523339,-0.016857]","[0.035071,2.074069,-0.059418]",-1.32117,-1.55073,0.042561,1.321855,satisfied,1,0,ok,satisfied,none,good,A,,Arrange a yellow and green double bed in front of a blue and yellow striped wardrobe. And position a yellow and green double bed left of a modern black pendant lamp.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,60:1:8-1-13,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,left,0,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
EG02-BED-0025,images/EG02-BED-0025.jpg,5e024c0f-0bca-4074-ac77-4b72a7629d0a_MasterBedroom-1069,bedroom,double_bed,left,nightstand,4,1,"[0.657789,0.530046,0.20869]","[-0.577234,0.267479,1.20348]",1.235022,0.262567,-0.994791,1.58584,not_satisfied,1,1,ok,not_satisfied,none,good,A,,Place a black and white nightstand with two drawers right of a grey and brown double bed.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,69:0:8-1-12,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,left,1,1,not_satisfied,not_satisfied,not_satisfied,a_d_agree,,,agree
EG02-BED-0026,images/EG02-BED-0026.jpg,802ba6ac-c040-4f27-b843-8c47791d0383_MasterBedroom-19531,bedroom,nightstand,right,nightstand,2,2,"[-1.505895,0.227259,-1.180977]","[-1.505895,0.227259,-1.180977]",0,0,0,0,not_satisfied,1,1,ok,not_judgable,object,poor,A,,"Place a gray nightstand with a lid to the right of a black double bed with cover and pillow. Next, put a nightstand left of a gray nightstand with a lid.",left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,93:1:12-6-12,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,right,1,1,not_judgable,not_judgable,not_judgable,a_d_agree,,,disagree
EG02-BED-0027,images/EG02-BED-0027.jpg,b45897de-6fe4-421c-b292-dfc31f3880ec_Bedroom-38427,bedroom,ceiling_lamp,right,nightstand,2,1,"[-0.171732,2.045794,-0.075235]","[-1.462821,0.225966,-1.305204]",1.291089,1.819828,1.229969,1.783181,satisfied,1,1,ok,satisfied,none,good,A,,Hang a black ceiling lamp with glass bulbs to the right of a nightstand.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,124:0:3-6-12,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,right,1,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
EG02-BED-0028,images/EG02-BED-0028.jpg,c45c5b4c-5fca-43b2-9770-02cd174f24c2_SecondBedroom-66007,bedroom,double_bed,right,wardrobe,2,4,"[0.504576,0.497669,-0.457314]","[-1.322179,1.395249,-0.573289]",1.826755,-0.89758,0.115975,1.830433,satisfied,1,1,ok,satisfied,none,good,A,,"Place a desk in front of a black and brown metal frame ceiling lamp. Then, set up a black double bed with cover and pillow to the right of a wardrobe with a door and drawers.",left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,131:1:8-6-20,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,right,1,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
EG02-BED-0029,images/EG02-BED-0029.jpg,e5afb85b-f9b0-48dc-9fa6-cdd46d3193b6_SecondBedroom-30334,bedroom,wardrobe,right,single_bed,5,3,"[-1.766723,1.160632,0.663572]","[0.288321,0.406488,1.0806]",-2.055045,0.754145,-0.417028,2.096931,not_satisfied,0,0,ok,not_satisfied,none,good,A,,"Position a gray wardrobe with a door right of a grey single bed with a white pillow. Finnally, place a gray wardrobe with a door behind a brown nightstand with drawers.",left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,148:0:20-6-15,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,right,0,0,not_satisfied,not_satisfied,not_satisfied,a_d_agree,,,agree
EG02-BED-0030,images/EG02-BED-0030.jpg,ea107e07-4507-4189-aa07-445d944d5fce_MasterBedroom-40319,bedroom,double_bed,right,pendant_lamp,3,6,"[0.402459,0.512646,-0.265994]","[-0.878057,2.373279,-0.212547]",1.280516,-1.860633,-0.053447,1.281631,satisfied,1,0,ok,satisfied,none,good,A,,Place a black and white pendant lamp with a metal frame to the left of a double bed.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,151:0:8-6-13,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,right,0,1,satisfied,not_satisfied,not_satisfied,adjudicated,D,,disagree
EG02-DIN-0001,images/EG02-DIN-0001.jpg,06a619f2-8939-4188-9eb3-ce01717de2b0_DiningRoom-197500,diningroom,wine_cabinet,behind,wine_cabinet,2,2,"[0.029577,1.230626,2.765842]","[0.029577,1.230626,2.765842]",0,0,0,0,not_satisfied,0,0,ok,not_judgable,object,poor,A,,Place a wine cabinet in front of a black and silver mirror wine cabinet.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,4:0:23-7-23,results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,0,0,not_judgable,not_judgable,not_judgable,a_d_agree,,,disagree
EG02-DIN-0002,images/EG02-DIN-0002.jpg,0878fcd8-0934-4298-87a2-9813bd4c19c2_DiningRoom-26805,diningroom,dining_table,behind,dining_chair,1,4,"[4.48574,0.385089,-0.961682]","[3.73574,0.296838,-1.011682]",0.75,0.088252,0.05,0.751665,not_satisfied,0,0,ok,satisfied,none,good,A,,"Set up a black dining chair with a black frame in front of a dining table. Additionally, put a black dining table with a black top to the close right of a dining chair.",left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,5:0:11-7-10,results/floor_prior_remote/diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,0,0,satisfied,not_satisfied,satisfied,adjudicated,A,,disagree
