annotation_id,scene_id,room_type,layout_variant,relation_id,subject_class,predicate,object_class,image_or_view_path,human_label,missing_object,visibility_quality,annotator_id,notes,baseline_satisfied,repair_satisfied
EG02-BED-0011,b2e0b670-b308-4817-b3b6-2a8b7312c18f_SecondBedroom-6261,bedroom,collision_gated_floor_prior,122:1:8-5-13,double_bed,below,pendant_lamp,images/EG02-BED-0011.svg,not_satisfied,none,good,D,,,
EG02-BED-0012,7b48d192-1ac0-406c-af41-800853de2d7f_Bedroom-41491,bedroom,collision_gated_floor_prior,88:0:3-4-4,ceiling_lamp,close to,chair,images/EG02-BED-0012.svg,satisfied,none,good,D,,,
EG02-BED-0013,885bca04-679c-4098-a2d9-27885640ad28_MasterBedroom-22581,bedroom,collision_gated_floor_prior,99:1:7-3-4,desk,close to,chair,images/EG02-BED-0013.svg,satisfied,none,good,D,,,
EG02-BED-0014,dc80719c-65f0-4662-a25c-ce747612ed07_MasterBedroom-18517,bedroom,collision_gated_floor_prior,142:0:4-9-6,4,close to,6,images/EG02-BED-0014.svg,not_judgable,both,poor,D,,,
EG02-BED-0015,15d07e45-2761-43ed-8dfc-f9d4ef58041d_Bedroom-68718,bedroom,collision_gated_floor_prior,14:0:20-2-12,wardrobe,in front of,nightstand,images/EG02-BED-0015.svg,satisfied,none,good,D,,,
EG02-BED-0016,29f92b53-a723-41c9-992c-1d146ce542a7_Bedroom-6993,bedroom,collision_gated_floor_prior,35:1:13-2-20,pendant_lamp,in front of,wardrobe,images/EG02-BED-0016.svg,satisfied,none,partial,D,,,
EG02-BED-0017,503ebcb6-9815-4412-90ea-f0bbd59ddbe9_SecondBedroom-143,bedroom,collision_gated_floor_prior,58:0:20-2-2,wardrobe,in front of,cabinet,images/EG02-BED-0017.svg,satisfied,none,good,D,,,
EG02-BED-0018,50526848-e51d-48e0-bb9b-3c5c90d76c4d_SecondBedroom-13044,bedroom,collision_gated_floor_prior,59:0:12-2-8,nightstand,in front of,double_bed,images/EG02-BED-0018.svg,not_satisfied,none,good,D,,,
EG02-BED-0019,54bdf809-f190-48e7-9b25-a9986077fc0f_SecondBedroom-32238,bedroom,collision_gated_floor_prior,62:0:8-2-12,double_bed,in front of,nightstand,images/EG02-BED-0019.svg,satisfied,none,good,D,,,
EG02-BED-0020,b1fb2628-f260-4bee-8db1-6f4f10520a09_MasterBedroom-1096,bedroom,collision_gated_floor_prior,120:1:20-2-10,wardrobe,in front of,dressing_table,images/EG02-BED-0020.svg,satisfied,none,good,D,,,
EG02-BED-0021,04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404,bedroom,collision_gated_floor_prior,1:0:8-1-12,double_bed,left,nightstand,images/EG02-BED-0021.svg,satisfied,none,good,D,,,
EG02-BED-0022,0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719,bedroom,collision_gated_floor_prior,8:1:1-1-8,bookshelf,left,double_bed,images/EG02-BED-0022.svg,uncertain,none,good,D,,,
EG02-BED-0023,10a1f583-7755-4afd-98b2-3f7df16bc930_Bedroom-430,bedroom,collision_gated_floor_prior,9:0:18-1-13,table,left,pendant_lamp,images/EG02-BED-0023.svg,satisfied,none,good,D,,,
EG02-BED-0024,525c4166-1792-4f4a-a9c2-1ea260cf6e39_Bedroom-8490,bedroom,collision_gated_floor_prior,60:1:8-1-13,double_bed,left,pendant_lamp,images/EG02-BED-0024.svg,satisfied,none,good,D,,,
EG02-BED-0025,5e024c0f-0bca-4074-ac77-4b72a7629d0a_MasterBedroom-1069,bedroom,collision_gated_floor_prior,69:0:8-1-12,double_bed,left,nightstand,images/EG02-BED-0025.svg,uncertain,none,good,D,,,
EG02-BED-0026,802ba6ac-c040-4f27-b843-8c47791d0383_MasterBedroom-19531,bedroom,collision_gated_floor_prior,93:1:12-6-12,nightstand,right,nightstand,images/EG02-BED-0026.svg,not_judgable,subject,poor,D,,,
EG02-BED-0027,b45897de-6fe4-421c-b292-dfc31f3880ec_Bedroom-38427,bedroom,collision_gated_floor_prior,124:0:3-6-12,ceiling_lamp,right,nightstand,images/EG02-BED-0027.svg,uncertain,none,good,D,,,
EG02-BED-0028,c45c5b4c-5fca-43b2-9770-02cd174f24c2_SecondBedroom-66007,bedroom,collision_gated_floor_prior,131:1:8-6-20,double_bed,right,wardrobe,images/EG02-BED-0028.svg,satisfied,none,good,D,,,
EG02-BED-0029,e5afb85b-f9b0-48dc-9fa6-cdd46d3193b6_SecondBedroom-30334,bedroom,collision_gated_floor_prior,148:0:20-6-15,wardrobe,right,single_bed,images/EG02-BED-0029.svg,not_satisfied,none,good,D,,,
EG02-BED-0030,ea107e07-4507-4189-aa07-445d944d5fce_MasterBedroom-40319,bedroom,collision_gated_floor_prior,151:0:8-6-13,double_bed,right,pendant_lamp,images/EG02-BED-0030.svg,satisfied,none,good,D,,,
EG02-DIN-0001,06a619f2-8939-4188-9eb3-ce01717de2b0_DiningRoom-197500,diningroom,collision_gated_floor_prior,4:0:23-7-23,wine_cabinet,behind,wine_cabinet,images/EG02-DIN-0001.svg,not_judgable,subject,poor,D,,,
EG02-DIN-0002,0878fcd8-0934-4298-87a2-9813bd4c19c2_DiningRoom-26805,diningroom,collision_gated_floor_prior,5:0:11-7-10,dining_table,behind,dining_chair,images/EG02-DIN-0002.svg,uncertain,none,partial,D,,,
EG02-DIN-0003,26146707-fd21-4520-b1fb-2ff93b2560e3_LivingDiningRoom-15610,diningroom,collision_gated_floor_prior,37:1:11-7-16,dining_table,behind,multi_seat_sofa,images/EG02-DIN-0003.svg,satisfied,none,partial,D,,,
EG02-DIN-0004,c5c99bbd-e9d2-40ff-b46c-43ed48e08864_LivingDiningRoom-7430,diningroom,collision_gated_floor_prior,150:0:15-7-17,loveseat_sofa,behind,pendant_lamp,images/EG02-DIN-0004.svg,satisfied,none,partial,D,,,
EG02-DIN-0005,ed28807d-83d3-437e-95bd-cf1392ad21e9_DiningRoom-55572,diningroom,collision_gated_floor_prior,167:1:15-7-7,loveseat_sofa,behind,console_table,images/EG02-DIN-0005.svg,satisfied,none,partial,D,,,
EG02-DIN-0006,08c22a05-81e2-41f4-8e22-c707aa082bdd_DiningRoom-17995,diningroom,collision_gated_floor_prior,6:0:11-5-17,dining_table,below,pendant_lamp,images/EG02-DIN-0006.svg,not_satisfied,none,partial,D,,,
EG02-DIN-0007,0a9c667d-033d-448c-b17c-dc55e6d3c386_DiningRoom-11628,diningroom,collision_gated_floor_prior,11:1:11-5-17,dining_table,below,pendant_lamp,images/EG02-DIN-0007.svg,not_satisfied,none,partial,D,,,
EG02-DIN-0008,0a9c667d-033d-448c-b17c-dc55e6d3c386_DiningRoom-11628,diningroom,collision_gated_floor_prior,11:0:11-9-10,dining_table,close to,dining_chair,images/EG02-DIN-0008.svg,satisfied,none,partial,D,,,
EG02-DIN-0009,15bed03e-d66d-4da2-8b8f-7dacde3d3d8b_DiningRoom-35065,diningroom,collision_gated_floor_prior,16:1:10-4-11,dining_chair,close to,dining_table,images/EG02-DIN-0009.svg,satisfied,none,partial,D,,,
EG02-DIN-0010,1db2e62e-6516-47da-bc4d-6469ba619d2f_LivingDiningRoom-1654,diningroom,collision_gated_floor_prior,24:0:11-3-10,dining_table,close to,dining_chair,images/EG02-DIN-0010.svg,satisfied,none,partial,D,,,
EG02-DIN-0011,20e5f2e7-ab26-4119-b16a-5b7282ee0a70_DiningRoom-113004,diningroom,collision_gated_floor_prior,27:1:17-4-14,pendant_lamp,close to,lounge_chair,images/EG02-DIN-0011.svg,uncertain,none,partial,D,,,
EG02-DIN-0012,57aca5c1-cbe5-4df7-922e-6c6cf9ba2a0e_DiningRoom-22308,diningroom,collision_gated_floor_prior,66:0:11-3-10,dining_table,close to,dining_chair,images/EG02-DIN-0012.svg,satisfied,none,partial,D,,,
EG02-DIN-0013,672b75fe-1120-4627-80a9-5616d99c3423_DiningRoom-24272,diningroom,collision_gated_floor_prior,87:0:10-4-11,dining_chair,close to,dining_table,images/EG02-DIN-0013.svg,satisfied,none,good,D,,,
EG02-DIN-0014,9d3329f3-b506-49ce-9edd-ac5155143bf4_DiningRoom-3017,diningroom,collision_gated_floor_prior,122:0:17-9-10,pendant_lamp,close to,dining_chair,images/EG02-DIN-0014.svg,satisfied,none,partial,D,,,
EG02-DIN-0015,58064c7d-8e8b-4149-9b3a-672cf22d4733_DiningRoom-11336,diningroom,collision_gated_floor_prior,68:0:10-2-10,dining_chair,in front of,dining_chair,images/EG02-DIN-0015.svg,not_judgable,subject,poor,D,,,
EG02-DIN-0016,5f86c744-15af-4c99-80ef-b3608aadbf1b_LivingDiningRoom-37641,diningroom,collision_gated_floor_prior,77:1:16-2-0,multi_seat_sofa,in front of,0,images/EG02-DIN-0016.svg,not_judgable,object,poor,D,,,
EG02-DIN-0017,6060e648-44c6-42d6-a9f4-f58c5bcff70d_LivingDiningRoom-25741,diningroom,collision_gated_floor_prior,78:1:6-2-0,coffee_table,in front of,armchair,images/EG02-DIN-0017.svg,not_satisfied,none,partial,D,,,
EG02-DIN-0018,6a03badb-61ab-4e22-9564-de2fd2ed1938_DiningRoom-25528,diningroom,collision_gated_floor_prior,89:1:10-2-10,dining_chair,in front of,dining_chair,images/EG02-DIN-0018.svg,not_judgable,subject,partial,D,,,
EG02-DIN-0019,b9c1aec3-a600-4084-908a-c351c423a357_LivingDiningRoom-19374,diningroom,collision_gated_floor_prior,139:0:15-2-8,15,in front of,8,images/EG02-DIN-0019.svg,not_judgable,both,poor,D,,,
EG02-DIN-0020,350388e2-7c93-45e9-bcc8-6a0a5165dab0_LivingDiningRoom-34640,diningroom,collision_gated_floor_prior,44:0:6-1-14,coffee_table,left,lounge_chair,images/EG02-DIN-0020.svg,satisfied,none,good,D,,,
EG02-DIN-0021,544a06d5-aa97-4740-8ef3-ed8520b5226e_LivingDiningRoom-2349,diningroom,collision_gated_floor_prior,61:1:0-1-16,armchair,left,multi_seat_sofa,images/EG02-DIN-0021.svg,uncertain,none,partial,D,,,
EG02-DIN-0022,70e4c0ab-9ca2-4542-96fd-9355e048db91_LivingDiningRoom-25795,diningroom,collision_gated_floor_prior,95:0:11-1-20,dining_table,left,stool,images/EG02-DIN-0022.svg,satisfied,none,partial,D,,,
EG02-DIN-0023,9a0486c5-58e8-4a77-99de-9c4ea78d39d3_LivingDiningRoom-9632,diningroom,collision_gated_floor_prior,117:0:6-1-2,coffee_table,left,cabinet,images/EG02-DIN-0023.svg,satisfied,none,partial,D,,,
EG02-DIN-0024,9f8f93c4-796c-41ff-863d-c7713981e450_LivingDiningRoom-4027,diningroom,collision_gated_floor_prior,125:1:16-1-17,multi_seat_sofa,left,pendant_lamp,images/EG02-DIN-0024.svg,not_satisfied,none,partial,D,,,
EG02-DIN-0025,e2d00f14-06f1-4b29-a9a1-f17618a2d7b7_DiningRoom-60525,diningroom,collision_gated_floor_prior,162:0:7-1-10,console_table,left,dining_chair,images/EG02-DIN-0025.svg,not_satisfied,none,good,D,,,
EG02-DIN-0026,198eb9ec-9059-4e26-958e-dc8fb8187713_LivingDiningRoom-15286,diningroom,collision_gated_floor_prior,22:1:16-6-6,multi_seat_sofa,right,coffee_table,images/EG02-DIN-0026.svg,not_satisfied,none,partial,D,,,
EG02-DIN-0027,57b535e1-49e2-46f0-a54d-a3e50fe9c413_LivingDiningRoom-2729,diningroom,collision_gated_floor_prior,67:1:16-6-14,multi_seat_sofa,right,lounge_chair,images/EG02-DIN-0027.svg,satisfied,none,partial,D,,,
EG02-DIN-0028,6487eb58-d9fa-4a42-afd2-13cba40b71d1_LivingDiningRoom-4693,diningroom,collision_gated_floor_prior,82:0:1-6-10,bookshelf,right,dining_chair,images/EG02-DIN-0028.svg,satisfied,none,partial,D,,,
EG02-DIN-0029,6487eb58-d9fa-4a42-afd2-13cba40b71d1_LivingDiningRoom-4693,diningroom,collision_gated_floor_prior,82:1:11-6-10,dining_table,right,dining_chair,images/EG02-DIN-0029.svg,not_satisfied,none,partial,D,,,
EG02-DIN-0030,74fa622c-58f2-4375-b6b5-684659581385_LivingDiningRoom-78283,diningroom,collision_gated_floor_prior,98:0:11-6-6,dining_table,right,coffee_table,images/EG02-DIN-0030.svg,satisfied,none,partial,D,,,
EG02-LIV-0001,b51e3da5-5d31-4511-882a-e841de457404_LivingDiningRoom-3428,livingroom,collision_gated_floor_prior,136:0:17-0-11,pendant_lamp,above,dining_table,images/EG02-LIV-0001.svg,not_satisfied,none,partial,D,,,
EG02-LIV-0002,ce377776-581d-4b4c-807f-e63f7473e9b3_LivingDiningRoom-276836,livingroom,collision_gated_floor_prior,160:0:17-0-11,pendant_lamp,above,dining_table,images/EG02-LIV-0002.svg,not_satisfied,none,good,D,,,
EG02-LIV-0003,3c47589f-313d-4bac-abee-830161a278f0_LivingDiningRoom-109935,livingroom,collision_gated_floor_prior,46:0:11-7-21,dining_table,behind,tv_stand,images/EG02-LIV-0003.svg,satisfied,none,partial,D,,,
EG02-LIV-0004,3fc88ba8-7ea3-4653-892f-83667812c78a_LivingDiningRoom-76396,livingroom,collision_gated_floor_prior,49:0:15-7-8,loveseat_sofa,behind,corner_side_table,images/EG02-LIV-0004.svg,not_satisfied,none,partial,D,,,
EG02-LIV-0005,47230ba1-5a12-450a-80da-80527cc31c35_LivingDiningRoom-6087,livingroom,collision_gated_floor_prior,52:0:21-7-10,tv_stand,behind,10,images/EG02-LIV-0005.svg,not_judgable,object,poor,D,,,
EG02-LIV-0006,70e4c0ab-9ca2-4542-96fd-9355e048db91_LivingDiningRoom-25795,livingroom,collision_gated_floor_prior,88:0:16-7-17,multi_seat_sofa,behind,pendant_lamp,images/EG02-LIV-0006.svg,satisfied,none,partial,D,,,
EG02-LIV-0007,f89c8def-be8d-4a45-948e-714938ca5550_LivingDiningRoom-16828,livingroom,collision_gated_floor_prior,189:0:11-7-10,dining_table,behind,dining_chair,images/EG02-LIV-0007.svg,uncertain,none,partial,D,,,
EG02-LIV-0008,0c1f82d4-6aa2-401f-ae0d-f053a024aa3b_LivingDiningRoom-248,livingroom,collision_gated_floor_prior,11:1:11-5-17,dining_table,below,pendant_lamp,images/EG02-LIV-0008.svg,not_satisfied,none,partial,D,,,
EG02-LIV-0009,53ac3d02-ed9a-4d4e-8982-e1b44dc8d5ec_LivingDiningRoom-19339,livingroom,collision_gated_floor_prior,63:0:6-5-17,coffee_table,below,pendant_lamp,images/EG02-LIV-0009.svg,satisfied,none,partial,D,,,
EG02-LIV-0010,23608ced-9c2c-4d17-b7a8-4e3656d2acca_LivingDiningRoom-21234,livingroom,collision_gated_floor_prior,35:0:11-3-10,dining_table,close to,dining_chair,images/EG02-LIV-0010.svg,not_satisfied,none,good,D,,,
EG02-LIV-0011,23a5fa77-0aa5-45f4-8399-3265005b1def_LivingDiningRoom-106046,livingroom,collision_gated_floor_prior,36:1:11-3-10,11,close to,dining_chair,images/EG02-LIV-0011.svg,not_judgable,subject,poor,D,,,
EG02-LIV-0012,7cbabe0c-5239-4e90-95cb-5c79adb0ede6_LivingDiningRoom-76216,livingroom,collision_gated_floor_prior,99:1:11-4-10,dining_table,close to,dining_chair,images/EG02-LIV-0012.svg,satisfied,none,partial,D,,,
EG02-LIV-0013,e52eb1b0-a8fb-4b1c-873d-5d962259a904_LivingRoom-2410,livingroom,collision_gated_floor_prior,177:1:11-3-10,dining_table,close to,dining_chair,images/EG02-LIV-0013.svg,satisfied,none,partial,D,,,
EG02-LIV-0014,0f5b9b03-c5f7-4172-9386-4805616025b5_LivingDiningRoom-20097,livingroom,collision_gated_floor_prior,16:0:6-2-21,coffee_table,in front of,tv_stand,images/EG02-LIV-0014.svg,satisfied,none,partial,D,,,
EG02-LIV-0015,4b54eac7-33c2-4f5a-9fa4-44bda75d881e_LivingDiningRoom-19270,livingroom,collision_gated_floor_prior,56:1:15-2-8,loveseat_sofa,in front of,corner_side_table,images/EG02-LIV-0015.svg,not_satisfied,none,partial,D,,,
EG02-LIV-0016,905ccf24-697b-4bb5-8c53-def619d16327_LivingDiningRoom-6844,livingroom,collision_gated_floor_prior,113:0:16-2-6,multi_seat_sofa,in front of,coffee_table,images/EG02-LIV-0016.svg,satisfied,none,good,D,,,
EG02-LIV-0017,b9d17d23-66f0-445d-acb7-f11887cc4f7f_LivingDiningRoom-192367,livingroom,collision_gated_floor_prior,141:0:17-2-6,pendant_lamp,in front of,coffee_table,images/EG02-LIV-0017.svg,not_judgable,subject,poor,D,,,
EG02-LIV-0018,df5e8b99-2ccc-4d27-89d8-094cf83706f9_LivingDiningRoom-838,livingroom,collision_gated_floor_prior,174:0:15-2-17,loveseat_sofa,in front of,pendant_lamp,images/EG02-LIV-0018.svg,not_satisfied,none,partial,D,,,
EG02-LIV-0019,ea497775-7cb7-4f4d-ad49-eeae6970961d_LivingRoom-4789,livingroom,collision_gated_floor_prior,182:0:11-2-7,dining_table,in front of,console_table,images/EG02-LIV-0019.svg,uncertain,none,partial,D,,,
EG02-LIV-0020,1cc0fd55-1c5a-4885-a2de-f30c6d387353_LivingRoom-33324,livingroom,collision_gated_floor_prior,32:0:15-1-17,loveseat_sofa,left,pendant_lamp,images/EG02-LIV-0020.svg,not_satisfied,none,partial,D,,,
EG02-LIV-0021,4b18584d-3740-40f7-b344-5fbd98858ed8_LivingRoom-88425,livingroom,collision_gated_floor_prior,55:0:15-1-21,15,left,tv_stand,images/EG02-LIV-0021.svg,not_judgable,subject,poor,D,,,
EG02-LIV-0022,82d13473-977b-457d-9e8a-6604dfe72c89_LivingDiningRoom-8375,livingroom,collision_gated_floor_prior,101:1:11-1-6,dining_table,left,coffee_table,images/EG02-LIV-0022.svg,not_satisfied,none,good,D,,,
EG02-LIV-0023,9c164b35-f1f3-4ae5-bbfa-5003672ac1d8_LivingDiningRoom-8304,livingroom,collision_gated_floor_prior,120:1:16-1-6,multi_seat_sofa,left,coffee_table,images/EG02-LIV-0023.svg,satisfied,none,partial,D,,,
EG02-LIV-0024,1cc0fd55-1c5a-4885-a2de-f30c6d387353_LivingRoom-33324,livingroom,collision_gated_floor_prior,32:1:21-6-0,tv_stand,right,armchair,images/EG02-LIV-0024.svg,uncertain,none,partial,D,,,
EG02-LIV-0025,258b12fb-08e1-43df-a3dd-d88793d32621_LivingDiningRoom-35273,livingroom,collision_gated_floor_prior,38:0:6-6-0,coffee_table,right,armchair,images/EG02-LIV-0025.svg,satisfied,none,partial,D,,,
EG02-LIV-0026,b51e3da5-5d31-4511-882a-e841de457404_LivingDiningRoom-3428,livingroom,collision_gated_floor_prior,136:1:17-6-1,pendant_lamp,right,bookshelf,images/EG02-LIV-0026.svg,satisfied,none,partial,D,,,
EG02-LIV-0027,c0de5219-e186-4e77-9b84-394940d6460b_LivingRoom-5361,livingroom,collision_gated_floor_prior,149:0:0-6-6,armchair,right,coffee_table,images/EG02-LIV-0027.svg,satisfied,none,good,D,,,
EG02-LIV-0028,c9f70be8-2021-4fb1-b599-da3b4e184543_LivingDiningRoom-941,livingroom,collision_gated_floor_prior,154:1:11-6-7,dining_table,right,console_table,images/EG02-LIV-0028.svg,uncertain,none,partial,D,,,
EG02-LIV-0029,e892807a-549e-4a8f-855b-075fa1b70c9f_LivingDiningRoom-19931,livingroom,collision_gated_floor_prior,181:1:11-6-5,dining_table,right,chinese_chair,images/EG02-LIV-0029.svg,uncertain,none,partial,D,,,
EG02-LIV-0030,f01d52ec-ff3e-4157-b0bc-9c29e849f03c_LivingDiningRoom-24470,livingroom,collision_gated_floor_prior,186:0:11-6-10,dining_table,right,dining_chair,images/EG02-LIV-0030.svg,satisfied,none,partial,D,,,
